,Winnter,Year
,Spotlight,2015
,Birdman,2014
,12 Years a Slave,2013
,Argo,2012
,The Artist,2011
,The King's Speech,2010
,The Hurt Locker,2009
,Slumdog Millionaire,2008
,No Country For Old Men,2007
,The Hurt Locker ,2006
,Slumdog Millionaire ,2005
,No Country For Old Men,2004
,The Departed,2003
,Crash,2002
,Million Dollar Baby,2001
,Lord Of The Rings: Return Of The King,2000
,Chicago,1999
,A Beautiful Mind ,1998
,Gladiator,1997
,American Beauty,1996
,Shakespeare In Love ,1995
,Titanic ,1994
,"English Patient, The ",1993
,Braveheart ,1992
,Forrest Gump ,1991
,Schindler's List ,1990
,Unforgiven ,1989
,"Silence of the Lambs,The ",1988
,Dances with Wolves ,1987
,Driving Miss Daisy ,1986
,Rain Man ,1985
,"Last Emperor, The ",1984
,Platoon ,1983
,Out of Africa ,1982
,Amadeus ,1981
,Terms of Endearment ,1980
,Gandhi ,1979
,Chariots of Fire ,1978
,Ordinary People ,1977
,Kramer vs. Kramer ,1976
,"Deer Hunter, The ",1975
,Annie Hall ,1974
,Rocky ,1973
,One Flew Over the Cuckoo's Nest ,1972
,"Godfather: Part II, The ",1971
,"Sting, The ",1970
,"Godfather, The ",1969
,"French Connection, The ",1968
,Patton ,1967
,Midnight Cowboy ,1966
,Oliver! ,1965
,In the Heat of the Night ,1964
,"Man for All Seasons, A ",1963
,"Sound of Music, The ",1962
,My Fair Lady ,1961
,Tom Jones ,1960
,Lawrence of Arabia ,1959
,West Side Story ,1958
,"Apartment, The ",1957
,Ben-Hur ,1956
,Gigi ,1955
,The Bridge on the River Kwai ,1954
,Around the World in 80 Days ,1953
,Marty ,1952
,On the Waterfront ,1951
,From Here to Eternity ,1950
,"Greatest Show on Earth, The ",1949
,"American in Paris, An ",1948
,All About Eve ,1947
,All the King's Men ,1946